Soja - Valor da produção (2024),,
localidade,valor,unidade
Serra Nova Dourada - MT,115.576,Mil Reais
São Félix do Araguaia - MT,2.096.471,Mil Reais
Ribeirão Cascalheira - MT,495.706,Mil Reais
Novo Santo Antônio - MT,10.595,Mil Reais
Nova Nazaré - MT,105.600,Mil Reais
Cocalinho - MT,112.554,Mil Reais
Bom Jesus do Araguaia - MT,947.489,Mil Reais
Alto Boa Vista - MT,201.388,Mil Reais
Água Boa - MT,876.259,Mil Reais
Mirassol d`Oeste - MT,1.026,Mil Reais
Lambari d`Oeste - MT,3.240,Mil Reais
Curvelândia - MT,-,Mil Reais
Cáceres - MT,70.500,Mil Reais
Acorizal - MT,-,Mil Reais
Alta Floresta - MT,492.789,Mil Reais
Alto Araguaia - MT,262.313,Mil Reais
Alto Garças - MT,709.800,Mil Reais
Alto Paraguai - MT,37.142,Mil Reais
Alto Taquari - MT,365.400,Mil Reais
Apiacás - MT,24.777,Mil Reais
Araguaiana - MT,77.450,Mil Reais
Araguainha - MT,11.839,Mil Reais
Araputanga - MT,1.776,Mil Reais
Arenápolis - MT,30.434,Mil Reais
Barão de Melgaço - MT,-,Mil Reais
Barra do Bugres - MT,8.058,Mil Reais
Barra do Garças - MT,358.452,Mil Reais
Brasnorte - MT,1.563.343,Mil Reais
Campinápolis - MT,179.914,Mil Reais
Campo Novo do Parecis - MT,1.846.051,Mil Reais
Campo Verde - MT,1.345.500,Mil Reais
Campos de Júlio - MT,1.116.531,Mil Reais
Canabrava do Norte - MT,222.950,Mil Reais
Canarana - MT,1.209.462,Mil Reais
Carlinda - MT,165.639,Mil Reais
Castanheira - MT,19.758,Mil Reais
Chapada dos Guimarães - MT,200.315,Mil Reais
Cláudia - MT,760.315,Mil Reais
Colíder - MT,252.897,Mil Reais
Comodoro - MT,730.651,Mil Reais
Confresa - MT,344.890,Mil Reais
Cotriguaçu - MT,18.900,Mil Reais
Cuiabá - MT,7.024,Mil Reais
Denise - MT,29.848,Mil Reais
Diamantino - MT,1.661.083,Mil Reais
Dom Aquino - MT,207.000,Mil Reais
Feliz Natal - MT,766.391,Mil Reais
Figueirópolis d`Oeste - MT,5.129,Mil Reais
Gaúcha do Norte - MT,942.400,Mil Reais
General Carneiro - MT,375.646,Mil Reais
Glória d`Oeste - MT,-,Mil Reais
Guarantã do Norte - MT,139.685,Mil Reais
Guiratinga - MT,417.519,Mil Reais
Indiavaí - MT,-,Mil Reais
Itiquira - MT,1.414.843,Mil Reais
Jaciara - MT,397.877,Mil Reais
Jangada - MT,24.009,Mil Reais
Jauru - MT,-,Mil Reais
Juara - MT,615.011,Mil Reais
Juína - MT,243.243,Mil Reais
Juruena - MT,12.442,Mil Reais
Juscimeira - MT,217.723,Mil Reais
Lucas do Rio Verde - MT,1.260.297,Mil Reais
Luciara - MT,45.976,Mil Reais
Vila Bela da Santíssima Trindade - MT,400.988,Mil Reais
Matupá - MT,345.600,Mil Reais
Nortelândia - MT,175.847,Mil Reais
Nossa Senhora do Livramento - MT,34.880,Mil Reais
Nova Bandeirantes - MT,110.887,Mil Reais
Nova Lacerda - MT,287.492,Mil Reais
Nova Brasilândia - MT,91.136,Mil Reais
Nova Canaã do Norte - MT,465.384,Mil Reais
Nova Mutum - MT,1.881.000,Mil Reais
Nova Olímpia - MT,6.870,Mil Reais
Nova Ubiratã - MT,2.395.288,Mil Reais
Nova Xavantina - MT,294.482,Mil Reais
Novo Mundo - MT,474.300,Mil Reais
Novo Horizonte do Norte - MT,56.700,Mil Reais
Paranaíta - MT,195.226,Mil Reais
Paranatinga - MT,1.737.002,Mil Reais
Pedra Preta - MT,382.930,Mil Reais
Peixoto de Azevedo - MT,477.400,Mil Reais
Planalto da Serra - MT,221.440,Mil Reais
Poconé - MT,76.779,Mil Reais
Pontal do Araguaia - MT,24.101,Mil Reais
Ponte Branca - MT,3.234,Mil Reais
Porto Alegre do Norte - MT,346.500,Mil Reais
Porto dos Gaúchos - MT,1.074.344,Mil Reais
Porto Esperidião - MT,19.740,Mil Reais
Porto Estrela - MT,-,Mil Reais
Poxoréu - MT,399.356,Mil Reais
Primavera do Leste - MT,1.613.557,Mil Reais
Querência - MT,1.869.600,Mil Reais
São José dos Quatro Marcos - MT,164,Mil Reais
Reserva do Cabaçal - MT,-,Mil Reais
Ribeirãozinho - MT,173.250,Mil Reais
Rio Branco - MT,1.121,Mil Reais
Santa Carmem - MT,634.201,Mil Reais
Santo Afonso - MT,86.745,Mil Reais
São José do Povo - MT,385,Mil Reais
São José do Rio Claro - MT,596.752,Mil Reais
São Pedro da Cipa - MT,15.525,Mil Reais
Rondonópolis - MT,553.162,Mil Reais
Rosário Oeste - MT,253.344,Mil Reais
Salto do Céu - MT,11.085,Mil Reais
Santa Terezinha - MT,195.650,Mil Reais
Santo Antônio do Leverger - MT,211.200,Mil Reais
Sapezal - MT,1.843.169,Mil Reais
Sinop - MT,980.942,Mil Reais
Sorriso - MT,3.331.063,Mil Reais
Tabaporã - MT,1.323.706,Mil Reais
Tangará da Serra - MT,611.142,Mil Reais
Tapurah - MT,921.667,Mil Reais
Terra Nova do Norte - MT,207.400,Mil Reais
Tesouro - MT,193.555,Mil Reais
Torixoréu - MT,156.078,Mil Reais
União do Sul - MT,420.000,Mil Reais
Várzea Grande - MT,-,Mil Reais
Vera - MT,854.272,Mil Reais
Vila Rica - MT,345.800,Mil Reais
Nova Guarita - MT,143.163,Mil Reais
Nova Marilândia - MT,30.196,Mil Reais
Nova Maringá - MT,781.297,Mil Reais
Nova Monte verde - MT,216.010,Mil Reais
Rondolândia - MT,2.517,Mil Reais
Aripuanã - MT,82.688,Mil Reais
Colniza - MT,5.400,Mil Reais
Pontes e Lacerda - MT,303.080,Mil Reais
Vale de São Domingos - MT,-,Mil Reais
Conquista d`Oeste - MT,66.983,Mil Reais
Santo Antônio do Leste - MT,741.662,Mil Reais
Novo São Joaquim - MT,477.101,Mil Reais
São José do Xingu - MT,759.850,Mil Reais
Santa Cruz do Xingu - MT,409.500,Mil Reais
Nobres - MT,293.415,Mil Reais
Santa Rita do Trivelato - MT,885.231,Mil Reais
Marcelândia - MT,695.640,Mil Reais
Nova Santa Helena - MT,264.775,Mil Reais
Itaúba - MT,416.618,Mil Reais
Ipiranga do Norte - MT,1.228.463,Mil Reais
Itanhangá - MT,483.299,Mil Reais
Fonte: PAM
,,
